Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: > 0.7, pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",1.3972904128240229,3.080780379727294,0.3927442551579428,153
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",1.653630290004623,3.0796666050189456,0.2570498502108606,457
"('gap_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",1.5095390951638115,3.0697563976165347,0.48445598432184334,505
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",1.4118073165632425,3.0375981317015848,0.439179382492342,166
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",1.3535982853034247,3.031605516852691,0.23001436554331275,276
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",1.0493865123795487,2.9843402039658797,0.3398140072162228,600
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",1.4520782721448717,2.9750751027035798,0.3970688459829286,335
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",1.2889930466473172,2.965468506361549,0.6485216012250392,377
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",1.3751884375904901,2.951239767440509,0.3121820469248666,252
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",1.1267703393773205,2.94592275232542,0.8702419205556552,872
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",1.0454251898104823,2.8563527542380642,0.5344114390403181,335
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",1.5565664330551132,2.8435051696329383,0.2614975439129171,311
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",1.3788549017505802,2.8395915280895974,0.15142730984996278,325
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",0.962269235263015,2.819594616226488,0.17850440247094318,253
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",1.4937022605703083,2.8094324539992854,0.6299933773614201,393
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",1.0817663868168284,2.764879796433397,0.41156880310062977,339
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",1.0681304933033202,2.7547902004916374,0.600888450788504,360
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: 0.3 - 0.7",1.506480965293647,2.7490280646263603,0.2987804100685688,356
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",1.3974963519194827,2.7433604815748085,0.421405228311688,159
"('gap_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",1.1629494071852151,2.7148957102679856,0.6169015700443325,559
"('gap_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",1.2958961760057053,2.7074988025879456,0.11054709721983735,200
"('gap_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: > 0.7",1.1395118111021834,2.6621507923963534,0.45832357243196425,234
