,first_hour_move,open_to_close_move,power_hour_move,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
2572,"-0,02364864865","-0,03663429054","0,006341328922","0,073","0,641","0,311","0,849","0,003","0,633","0,003","0,482"
2573,"0,03033276102","0,01659717112","-0,005651223543","0,035","0,779","0,017","0,945","0,003","0,713","0,003","0,872"
2574,"0,02046577212","0,06545371844","-0,005730294155","0,023","0,003","0,918","0,869","0,003","0,319","0,003","0,52"
2575,"-0,01202180667","-0,03713582273","-0,01164329984","0,031","0,322","0,007","0,446","0,003","0,235","0,526","0,003"
2576,"-0,0109766968","0,00273526041","6,60E-05","0,068","0,915","0,526","0,734","0,003","0,603","0,003","0,711"
2577,"0,004797237916","-0,009322033898","-0,01605461687","0,545","0,621","0,018","0,008","0,003","0,716","0,003","0,746"
2578,"-0,009543107423","-0,01982480406","0,0058667676","0,063","0,849","0,501","0,725","0,003","0,537","0,003","0,836"
2579,"0,01255476345","0,02644199611","-0,001575994452","0,071","0,003","0,699","0,463","0,003","0,302","0,003","0,836"
2580,"-0,0004504504505","-0,02792792793","0,001206272618","0,023","0,643","0,603","0,925","0,003","0,286","0,003","0,879"
2581,"0,007481853713","0,008040201005","-0,01193082312","0,07","0,003","0,545","0,656","0,003","0,379","0,525","0,003"
2582,"-0,005795085767","-0,02644490805","-0,008791252016","0,013","0,003","0,911","0,819","0,003","0,02","0,003","0,955"
2583,"0,02028129614","0,002020359002","-0,008457522843","0,058","0,494","0,306","0,076","0,003","0,675","0,003","0,982"
2584,"0,009334747689","0,02451583573","0,002288987657","0,553","0,731","0,368","0,038","0,003","0,874","0,003","0,746"
2585,"-0,01936311676","-0,0108480112","-0,005745104936","0,055","0,98","0,361","0,29","0,003","0,484","0,516","0,003"
2586,"-0,0005973120956","-0,0175211548","-0,01644409009","0,437","0,686","0,05","0,035","0,003","0,716","0,003","0,505"
2587,"-0,01592204216","-0,0267273947","-0,001593625498","0,053","0,715","0,309","0,403","0,003","0,514","0,003","0,907"
