Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: > 0.7",0.3805003883466,1.1460720487556,0.1641956066145,72
"('gap_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.35362633395369997,1.1435551078521,0.09994741955560002,136
"('gap_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.34007655402780007,1.1285010199695997,-0.0403320468551,230
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",0.4567859037769001,1.1182845746199,0.21343753118430003,118
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",0.3464955933943,1.1032751236222,0.2071507803143,92
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",0.7238623887630002,1.0923431433264001,-0.004593588737700015,95
"('gap_percentile', 'pm_dollar_volume_percentile', 'red_days_percentile')","gap_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: < 0.3, red_days_percentile: < 0.3",0.4668102603524,1.0900737507287999,0.026703176564499997,200
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: > 0.7, pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.4844170292349,1.0856975694758,0.127879678562,141
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.22980399885730002,1.0819474982155,-0.005392593939499989,154
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: 0.3 - 0.7",0.23735460848059997,1.0812166841101,-0.025918630910099993,101
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",0.6105766452402,1.0810387557266001,-0.023194557816400008,108
